gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
RN7SL304P,1.2965981229397984e-4,0.0032234868802671667,0.02487305135580399,0.980204677615151,1,-10.671148184870372
ZFPL1,-0.0012336435348680019,4.629252184190052,-0.024865636686537886,0.9802105773826668,1,-10.671148371068785
TMEM19,0.0021927910681242982,4.281739490805712,0.024839350322556165,0.9802314931506344,1,-10.671149030729108
ITPRIP-AS1,2.905481101999858e-4,0.008540092293024862,0.024832381032543135,0.9802370385396324,1,-10.67114920550748
NEURL2,0.0020877503026228562,0.9119387395426336,0.024803110114499857,0.9802603291044251,1,-10.671149939038614
RPL21P119,-0.0032868080001147775,4.327541188015879,-0.02476263549768427,0.9802925343638303,1,-10.671150951909938
ZXDC,-0.0026091939140787624,5.948380053117074,-0.02476014613088817,0.9802945151298713,1,-10.671151014151974
ARHGEF5,-0.0019718439906465605,1.8354565486475134,-0.024674419171396223,0.980362727350534,1,-10.671153153778846
MIR3168,1.8949692184606318e-4,0.009925882641096746,0.024597098018342332,0.980424251266693,1,-10.671155077243348
SMOX,-0.0021732963834837906,3.889805535488065,-0.024566730517550817,0.980448414513089,1,-10.671155831023459
LEF1-AS1,0.002502513770349741,1.616044739512096,0.024530162717111875,0.9804775113265458,1,-10.671156737471232
AK7,5.439328862078278e-4,0.01574827188588196,0.024471484205853523,0.9805242015755886,1,-10.671158189180709
RHEBL1,-0.0017386701927392483,1.1884731954387953,-0.024460281292691573,0.9805331156950206,1,-10.671158465946107
PHLDB2,0.0035128184740433857,3.0432644998595793,0.024455246149241775,0.9805371221421313,1,-10.671158590296898
GLTPD2,3.158815354042441e-4,0.01794669230448825,0.02442997708059848,0.9805572286646043,1,-10.671159213969693
LYG2,-6.326259617121932e-5,0.00159193629635746,-0.024427743457661473,0.9805590059523093,1,-10.67115926906734
DAP3,-0.0015078146953886261,5.8955224623437665,-0.024407480517761527,0.9805751291230316,1,-10.67115976867099
HGS,-0.0013503990982050816,6.632663207199226,-0.024275648202380044,0.9806800279637671,1,-10.671163009009181
PLEKHA3,0.0023164673985176625,3.441021649916614,0.02426441498944912,0.9806889662356955,1,-10.671163284301652
ISYNA1P1,5.841564830391411e-5,0.001490922271580448,0.02422643824024457,0.9807191843681204,1,-10.671164214054704
ANO7L1,0.0024490369502463763,0.5620858583046698,0.02421811461273001,0.9807258074895372,1,-10.671164417640563
CCDC17,0.0016736076476837993,6.472633656833167,0.02418953624008833,0.980748547348685,1,-10.67116511610051
LRRC51,0.001989859714677722,1.5691196427292124,0.024141610896556403,0.9807866816607107,1,-10.671166285552392
TAS2R60,9.777457841137112e-4,0.159842405941273,0.024008970070783314,0.9808922245193318,1,-10.67116951009992
MIR3149,1.9659916291954772e-4,0.013134113154372363,0.023996978178174255,0.9809017665350841,1,-10.671169800751603
RPL3P4,0.002497911897913005,6.533921702764433,0.023869000086665773,0.9810035995878381,1,-10.671172893557262
GORAB,-0.002995711129447297,2.005588897860146,-0.023773417232914967,0.9810796557308006,1,-10.671175192689061
RNF169,-0.003192924693811606,5.051387630796404,-0.023772529461510025,0.981080362139372,1,-10.671175214000108
RNU6-189P,-8.596565889036061e-5,0.0031105521171485183,-0.023749758115892524,0.9810984815316008,1,-10.67117576035663
WARS1-AS1,9.730126350978299e-5,0.002753239579402563,0.023693556231535823,0.981143201987196,1,-10.671177106576518
RPS2P33,2.65020214176923e-4,0.034138213463407834,0.023689023547449166,0.9811468086962436,1,-10.67117721501022
HMGN2P13,1.3387824694690553e-4,0.007089199080622151,0.02346665899860101,0.981323747213166,1,-10.671182509080714
PCP2,-0.002098373145879388,2.0657179985164507,-0.023433549239250433,0.9813500931820971,1,-10.671183293089546
ZNF436,-0.0019945684577061975,2.6205358749031213,-0.023358980153408346,0.9814094290805968,1,-10.671185054763416
CDC45,-0.0015802343460795207,0.4657583188856757,-0.0233269241335658,0.9814349366365969,1,-10.671185810352295
NANOGP4,5.31934136045133e-4,0.08441381721973108,0.023311424446967197,0.9814472700250625,1,-10.671186175321544
C2CD5,0.0025770989920195246,4.560074093864175,0.023280754584752525,0.9814716746172444,1,-10.671186896786166
IDH1-AS1,-3.762347277305523e-4,0.016705260461290873,-0.023276135983766412,0.981475349727341,1,-10.671187005349847
CEP97,0.00265212972799831,2.693091312764582,0.023246331615499608,0.9814990656489726,1,-10.67118770540598
SMPDL3B,-0.0017924230266859154,8.892793483476309,-0.023206153166530855,0.9815310364567762,1,-10.671188647712775
ACAT1,0.0022866888407705372,3.1719233729181977,0.023123429322080925,0.9815968615945208,1,-10.671190582705403
ZACN,-0.0012131393611471844,0.25965251593147376,-0.02310806041713878,0.9816090909759188,1,-10.671190941438148
OR6K1P,-7.654690514366016e-5,0.0020393364497169426,-0.023077148230477178,0.9816336885074949,1,-10.671191662251587
RN7SL81P,5.427015272762317e-4,0.09397618783585575,0.02307281128789532,0.9816371395129866,1,-10.67119176330365
ARHGAP27P2,-0.0011553955678001238,0.3742284113416444,-0.023060924536581085,0.9816465980776419,1,-10.671192040171192
C9,-0.001884539681732651,2.9104361117940654,-0.02303598184821703,0.9816664455637609,1,-10.67119262067528
IPMKP1,5.337005255760351e-4,0.1216091136989176,0.02301299837920802,0.9816847340629694,1,-10.671193155025318
PDK4,0.003542729309945258,3.7445421140418844,0.02300166369575338,0.981693753346872,1,-10.671193418352612
BLOC1S6P1,3.3261809079773827e-4,0.03188797659826796,0.022910300480755968,0.9817664533705872,1,-10.671195536165097
NOC2LP1,-0.0015112236659553676,1.2997539019821707,-0.022877860622452922,0.9817922666242934,1,-10.671196286098015
C11orf71,-0.0018662188533224379,2.2898129950004558,-0.022780971948463263,0.9818693636212092,1,-10.671198519609035
BAMBI,0.001256080829749831,0.31102250177994084,0.022767171961699383,0.9818803446662512,1,-10.671198836959869
TBC1D12,-0.0026894120128029097,1.757391103547003,-0.0227520674848921,0.9818923637354069,1,-10.67119918408894
USH2A,-2.9752218038306837e-5,8.041066598992108e-4,-0.022748450443095175,0.9818952419208219,1,-10.671199267181121
ARL8B,0.0021875995968235543,5.257865898410897,0.02271299462984306,0.981923455155858,1,-10.67120008098732
HMGB1P8,-8.682638066467059e-4,0.2637345822023909,-0.022686274545142927,0.9819447171295164,1,-10.671200693446279
RNU6-1231P,-4.392962325200544e-4,0.06097225428693251,-0.02264889452898498,0.9819744615525318,1,-10.671201549034977
TMEM167B-DT,0.0018344284948408726,1.2002612386972649,0.022562269318230646,0.9820433919818985,1,-10.671203526370265
SLAIN2,-0.0020087101277884013,4.655625262162308,-0.022493151946629056,0.982098390965616,1,-10.67120509863115
COG6,0.0027200008432366482,2.912646620572222,0.022434813529275906,0.9821448128453364,1,-10.671206421941624
TRBV12-5,-0.001596995350631203,0.24939047296159672,-0.0223893582902998,0.982180983180656,1,-10.671207450636508
GUCY1B2,0.001643162636443586,0.18668004359455367,0.02238240854327279,0.9821865133425256,1,-10.671207607731967
PXDC1,0.001602262062858876,0.9973445762477711,0.02236432579189041,0.9822009024375651,1,-10.671208016254694
MED6,0.0014550805911657059,4.0687639657710495,0.022362970533961617,0.982201980865234,1,-10.671208046859167
MAGOHB,0.002091195855021775,2.142115467214138,0.022295639259253867,0.9822555588331954,1,-10.671209565001238
SLC46A2-AS1,0.0010065420220145725,0.40031413717094044,0.02207018198830478,0.982434964053284,1,-10.671214615138434
CACNA1I,-0.002306707365963182,3.9416512859185606,-0.02205555009025939,0.9824466072614325,1,-10.671214941112481
TNPO2,-0.0015079185160986209,5.421618296713364,-0.022036550336284176,0.9824617261593678,1,-10.671215364072385
XBP1,-0.0015336028497633586,6.438162753681306,-0.022007367263133647,0.9824849483622164,1,-10.671216013016657
RNF183,3.7853971048277374e-4,0.03513681476291305,0.021933016559107885,0.982544112423068,1,-10.671217662467493
CBR4,0.0022533437882823262,3.442549568257957,0.02192977446164432,0.9825466923020232,1,-10.671217734265564
SECISBP2,-0.0018340583523388668,6.390219996759285,-0.021847484550173102,0.9826121740508034,1,-10.671219553068404
LINC02939,1.3567270055831848e-4,0.0038490617437077347,0.02178937733708635,0.9826584126207127,1,-10.671220833257237
SYS1,0.001214615255248527,5.199104371186781,0.02174726205926156,0.9826919257124977,1,-10.671221758988763
IGHV7-40,-1.370325124788468e-4,0.003885260779795782,-0.021688532674508196,0.9827386594761611,1,-10.671223046923075
PRECSIT,-7.069150424027508e-4,0.14795733165807945,-0.021657319950839148,0.9827634969488268,1,-10.671223730000172
TTC21B,0.002104672738868678,3.2189644682204834,0.02165147559491927,0.9827681475871624,1,-10.671223857792045
CCHCR1,0.0013243354848833492,3.83409956017653,0.021618556670149267,0.9827943427882149,1,-10.671224576948486
FBXO27,7.953770182113877e-4,0.0995583132647733,0.021582164625297297,0.9828233017429627,1,-10.671225370706217
OR7E59P,-1.2257470178277392e-4,0.0038929495244693388,-0.021461998904674963,0.9829189237287197,1,-10.671227982178353
IGHD2-8,-7.709829474086409e-5,0.0031054363301391942,-0.021337239598096365,0.9830182013283038,1,-10.671230678052087
SNRNP35,0.001125779016152745,4.635826407463915,0.021333475962832558,0.98302119625672435,1,-10.671230759134751
TIAM1-AS1,-3.909115841414536e-4,0.038777006222450644,-0.021310058231696887,0.9830398310191644,1,-10.671231263318177
DNAJC9P1,-0.001232904600557283,1.4465732092308512,-0.02127612309928087,0.9830668350665435,1,-10.671231992958491
H3-3A,0.0018991620847020533,9.134383853556871,0.021156470560853523,0.983162049315327,1,-10.671234556333106
