mirna,contrast,test,n_group_a,n_group_b,log2fc,pvalue,padj,direction
novel_miR_2127,case_after_vs_control,welch_t,10,10,-1.8836982192076055,0.1436260945792386,0.2892809335690991,down_in_case_after
novel_miR_2128,case_after_vs_control,welch_t,10,10,-0.8440623490050597,0.19669890836986315,0.3218462083008964,down_in_case_after
novel_miR_214,case_after_vs_control,welch_t,10,10,-1.017045963932231,0.1771104148070224,0.31124794175992954,down_in_case_after
novel_miR_2142,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2143,case_after_vs_control,welch_t,10,10,-1.0955047386103693,0.21005922028219684,0.3350539159479278,down_in_case_after
novel_miR_2144,case_after_vs_control,welch_t,10,10,-0.11560870475867446,0.8465498510632016,0.864079787582198,down_in_case_after
novel_miR_2145,case_after_vs_control,welch_t,10,10,0.45424309969580945,0.168000282423757,0.3090541576302154,up_in_case_after
novel_miR_2151,case_after_vs_control,welch_t,10,10,-0.8068299011411039,0.14944220983445325,0.294159957128383,down_in_case_after
novel_miR_2158,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2159,case_after_vs_control,welch_t,10,10,-0.7190068094913453,0.27491599814893397,0.38856108221050045,down_in_case_after
novel_miR_2170,case_after_vs_control,welch_t,10,10,-0.8140905435012963,0.34343639613791355,0.4192830305791041,down_in_case_after
novel_miR_2174,case_after_vs_control,welch_t,10,10,-1.8182653920122864,0.006175869802043214,0.12881993058907948,down_in_case_after
novel_miR_2182,case_after_vs_control,welch_t,10,10,-0.7467845190984773,0.05092297674539247,0.2014778645143789,down_in_case_after
novel_miR_2184,case_after_vs_control,welch_t,10,10,-1.6861621063188794,0.08209544558398932,0.22991827057919625,down_in_case_after
novel_miR_2185,case_after_vs_control,welch_t,10,10,0.7980553391113223,0.2646247856278716,0.3813046545648869,up_in_case_after
novel_miR_2187,case_after_vs_control,welch_t,10,10,-1.3845110316855391,0.03371454351090051,0.1833742017488009,down_in_case_after
novel_miR_2188,case_after_vs_control,welch_t,10,10,-0.8140905435012963,0.34343639613791355,0.4192830305791041,down_in_case_after
novel_miR_2189,case_after_vs_control,welch_t,10,10,-0.7203083178129465,0.34793127612664065,0.4238956742099031,down_in_case_after
novel_miR_2190,case_after_vs_control,welch_t,10,10,-0.5729197678828486,0.17042866497868847,0.3090541576302154,down_in_case_after
novel_miR_2191,case_after_vs_control,welch_t,10,10,0.25824588625327116,0.34343639613791366,0.4192830305791041,up_in_case_after
novel_miR_2192,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2193,case_after_vs_control,welch_t,10,10,-1.8478059236823587,0.04174741259677782,0.19074050871950854,down_in_case_after
novel_miR_2194,case_after_vs_control,welch_t,10,10,-1.8207591720119503,0.04765706913195638,0.19732819828491716,down_in_case_after
novel_miR_2195,case_after_vs_control,welch_t,10,10,-0.8228621025526872,0.2721632247709927,0.3865175208932585,down_in_case_after
novel_miR_2197,case_after_vs_control,welch_t,10,10,-0.913816286051933,0.1509810165191644,0.29571281877842964,down_in_case_after
novel_miR_2198,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_22,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2203,case_after_vs_control,welch_t,10,10,-1.2275051642113086,0.17840382274673888,0.31124794175992954,down_in_case_after
